Addr	OpCode	OpCode2	Op
0000	0000	0000	SYSFUNC(0000, 0000)
0002	0000	001a	SYSFUNC(0000, 001a)
0004	0001	0001	SYSFUNC(0001, 0001)
0006	0002	0002	SYSFUNC(0002, 0002)
0008	0003	0002	SYSFUNC(0003, 0002)
000a	0004	0002	SYSFUNC(0004, 0002)
000c	0005	0002	SYSFUNC(0005, 0002)
000e	0006	0bd2	SYSFUNC(0006, 0bd2)
0010	0007	28ec	SYSFUNC(0007, 28ec)
0012	0008	0002	SYSFUNC(0008, 0002)
0014	0009	2a8b	SYSFUNC(0009, 2a8b)
0016	000a	0bf1	SYSFUNC(000a, 0bf1)
0018	000b	0c11	SYSFUNC(000b, 0c11)
001a	000c	0c3b	SYSFUNC(000c, 0c3b)
001c	000d	0cab	SYSFUNC(000d, 0cab)
001e	000e	0d57	SYSFUNC(000e, 0d57)
0020	000f	0e1d	SYSFUNC(000f, 0e1d)
0022	0010	12d5	SYSFUNC(0010, 12d5)
0024	0011	1349	SYSFUNC(0011, 1349)
0026	0012	13c2	SYSFUNC(0012, 13c2)
0028	0013	14b3	SYSFUNC(0013, 14b3)
002a	0014	1557	SYSFUNC(0014, 1557)
002c	0015	15a4	SYSFUNC(0015, 15a4)
002e	0016	15db	SYSFUNC(0016, 15db)
0030	0017	1627	SYSFUNC(0017, 1627)
0032	0018	168b	SYSFUNC(0018, 168b)
0034	0019	16cd	SYSFUNC(0019, 16cd)
0036	001a	1720	SYSFUNC(001a, 1720)
0038	001b	1770	SYSFUNC(001b, 1770)
003a	001c	1b54	SYSFUNC(001c, 1b54)
003c	001d	221a	SYSFUNC(001d, 221a)
003e	001e	2a63	SYSFUNC(001e, 2a63)
0040	001f	2a98	SYSFUNC(001f, 2a98)
0042	4000	1d8a	MODELFUNC(0000, 0000, 1d8a)
0044	4002	1d89	MODELFUNC(0000, 0002, 1d89)
0046	400f	0e1d	MODELFUNC(0000, 000f, 0e1d)
0048	401d	221a	MODELFUNC(0000, 001d, 221a)
004a	410f	0f11	MODELFUNC(0001, 000f, 0f11)
004c	411f	2a98	MODELFUNC(0001, 001f, 2a98)
004e	420f	1005	MODELFUNC(0002, 000f, 1005)
0050	421f	2ab9	MODELFUNC(0002, 001f, 2ab9)
0052	4300	214b	MODELFUNC(0003, 0000, 214b)
0054	4302	20ef	MODELFUNC(0003, 0002, 20ef)
0056	4304	2328	MODELFUNC(0003, 0004, 2328)
0058	4305	23c3	MODELFUNC(0003, 0005, 23c3)
005a	4314	1557	MODELFUNC(0003, 0014, 1557)
005c	4315	15a4	MODELFUNC(0003, 0015, 15a4)
005e	4316	15db	MODELFUNC(0003, 0016, 15db)
0060	4317	1627	MODELFUNC(0003, 0017, 1627)
0062	4318	168b	MODELFUNC(0003, 0018, 168b)
0064	431e	2a63	MODELFUNC(0003, 001e, 2a63)
0066	4400	1dbb	MODELFUNC(0004, 0000, 1dbb)
0068	4404	1dec	MODELFUNC(0004, 0004, 1dec)
006a	4405	1e2f	MODELFUNC(0004, 0005, 1e2f)
006c	440f	10f9	MODELFUNC(0004, 000f, 10f9)
006e	4500	2047	MODELFUNC(0005, 0000, 2047)
0070	4504	20a5	MODELFUNC(0005, 0004, 20a5)
0072	4505	20e8	MODELFUNC(0005, 0005, 20e8)
0074	4600	1fc6	MODELFUNC(0006, 0000, 1fc6)
0076	4602	1fc5	MODELFUNC(0006, 0002, 1fc5)
0078	4604	1ff7	MODELFUNC(0006, 0004, 1ff7)
007a	4605	2040	MODELFUNC(0006, 0005, 2040)
007c	4612	13c2	MODELFUNC(0006, 0012, 13c2)
007e	4700	28fd	MODELFUNC(0007, 0000, 28fd)
0080	4800	24ce	MODELFUNC(0008, 0000, 24ce)
0082	4a00	1cd5	MODELFUNC(000a, 0000, 1cd5)
0084	4a02	1be6	MODELFUNC(000a, 0002, 1be6)
0086	4a03	1d5d	MODELFUNC(000a, 0003, 1d5d)
0088	4a1c	1b54	MODELFUNC(000a, 001c, 1b54)
008a	4b00	1a05	MODELFUNC(000b, 0000, 1a05)
008c	4b02	17a8	MODELFUNC(000b, 0002, 17a8)
008e	4b19	16cd	MODELFUNC(000b, 0019, 16cd)
0090	4b1a	1720	MODELFUNC(000b, 001a, 1720)
0092	4b1b	1770	MODELFUNC(000b, 001b, 1770)
0094	4c00	2924	MODELFUNC(000c, 0000, 2924)
0096	4d00	23d6	MODELFUNC(000d, 0000, 23d6)
0098	4d04	24b8	MODELFUNC(000d, 0004, 24b8)
009a	4e00	2935	MODELFUNC(000e, 0000, 2935)
009c	4f00	2946	MODELFUNC(000f, 0000, 2946)
009e	5000	2957	MODELFUNC(0010, 0000, 2957)
00a0	5300	1f4e	MODELFUNC(0013, 0000, 1f4e)
00a2	5304	1f8d	MODELFUNC(0013, 0004, 1f8d)
00a4	5305	1fa6	MODELFUNC(0013, 0005, 1fa6)
00a6	530f	11e4	MODELFUNC(0013, 000f, 11e4)
00a8	5317	1659	MODELFUNC(0013, 0017, 1659)
00aa	5318	16ac	MODELFUNC(0013, 0018, 16ac)
00ac	531d	22a4	MODELFUNC(0013, 001d, 22a4)
00ae	5400	290e	MODELFUNC(0014, 0000, 290e)
00b0	5800	2968	MODELFUNC(0018, 0000, 2968)
00b2	5900	2994	MODELFUNC(0019, 0000, 2994)
00b4	5903	2979	MODELFUNC(0019, 0003, 2979)
00b6	5d00	308e	MODELFUNC(001d, 0000, 308e)
00b8	5d02	2ffa	MODELFUNC(001d, 0002, 2ffa)
00ba	5d1c	2f62	MODELFUNC(001d, 001c, 2f62)
00bc	8444	2e8e	WALKMESHFUNC(0004, 0044, 2e8e)
00be	8e84	2f1d	WALKMESHFUNC(0004, 00e8, 2f1d)
00c0	92f3	2efa	WALKMESHFUNC(0003, 012f, 2efa)
00c2	92f4	2e58	WALKMESHFUNC(0004, 012f, 2e58)
00c4	9314	2e73	WALKMESHFUNC(0004, 0131, 2e73)
00c6	9334	2e3d	WALKMESHFUNC(0004, 0133, 2e3d)
00c8	9574	2f47	WALKMESHFUNC(0004, 0157, 2f47)
00ca	96c4	2db3	WALKMESHFUNC(0004, 016c, 2db3)
00cc	97b3	2f2c	WALKMESHFUNC(0003, 017b, 2f2c)
00ce	97b4	2e22	WALKMESHFUNC(0004, 017b, 2e22)
00d0	9e24	2d98	WALKMESHFUNC(0004, 01e2, 2d98)
00d2	9ec4	2af5	WALKMESHFUNC(0004, 01ec, 2af5)
00d4	a024	2d52	WALKMESHFUNC(0004, 0202, 2d52)
00d6	a054	2caf	WALKMESHFUNC(0004, 0205, 2caf)
00d8	a0e4	2ada	WALKMESHFUNC(0004, 020e, 2ada)
00da	a224	2e07	WALKMESHFUNC(0004, 0222, 2e07)
00dc	a274	2ec4	WALKMESHFUNC(0004, 0227, 2ec4)
00de	a294	2cca	WALKMESHFUNC(0004, 0229, 2cca)
00e0	a2d4	2c8e	WALKMESHFUNC(0004, 022d, 2c8e)
00e2	a4a4	2edf	WALKMESHFUNC(0004, 024a, 2edf)
00e4	a4b3	2ea9	WALKMESHFUNC(0003, 024b, 2ea9)
00e6	a4b4	2d37	WALKMESHFUNC(0004, 024b, 2d37)
00e8	a584	2c12	WALKMESHFUNC(0004, 0258, 2c12)
00ea	a5d4	2b10	WALKMESHFUNC(0004, 025d, 2b10)
00ec	a704	2d7d	WALKMESHFUNC(0004, 0270, 2d7d)
00ee	a720	29af	WALKMESHFUNC(0000, 0272, 29af)
00f0	a730	29be	WALKMESHFUNC(0000, 0273, 29be)
00f2	a784	2bd6	WALKMESHFUNC(0004, 0278, 2bd6)
00f4	a854	2c73	WALKMESHFUNC(0004, 0285, 2c73)
00f6	a950	29a5	WALKMESHFUNC(0000, 0295, 29a5)
00f8	a960	29b4	WALKMESHFUNC(0000, 0296, 29b4)
00fa	a964	2cf2	WALKMESHFUNC(0004, 0296, 2cf2)
00fc	a970	29c3	WALKMESHFUNC(0000, 0297, 29c3)
00fe	aa20	29cd	WALKMESHFUNC(0000, 02a2, 29cd)
0100	aa21	29d4	WALKMESHFUNC(0001, 02a2, 29d4)
0102	aa23	29db	WALKMESHFUNC(0003, 02a2, 29db)
0104	aa24	2b85	WALKMESHFUNC(0004, 02a2, 2b85)
0106	ab23	2a02	WALKMESHFUNC(0003, 02b2, 2a02)
0108	ab90	29aa	WALKMESHFUNC(0000, 02b9, 29aa)
010a	aba0	29b9	WALKMESHFUNC(0000, 02ba, 29b9)
010c	abb0	29c8	WALKMESHFUNC(0000, 02bb, 29c8)
010e	ac54	2ba0	WALKMESHFUNC(0004, 02c5, 2ba0)
0110	ada0	2a3c	WALKMESHFUNC(0000, 02da, 2a3c)
0112	ada4	2d1c	WALKMESHFUNC(0004, 02da, 2d1c)
0114	ae84	2bbb	WALKMESHFUNC(0004, 02e8, 2bbb)
0116	b034	2c2d	WALKMESHFUNC(0004, 0303, 2c2d)
0118	b254	2d01	WALKMESHFUNC(0004, 0325, 2d01)
011a	b2c4	2bf7	WALKMESHFUNC(0004, 032c, 2bf7)
011c	b7a4	2c48	WALKMESHFUNC(0004, 037a, 2c48)
011e	ffff	0000	
0120	ffff	0000	
0122	ffff	0000	
0124	ffff	0000	
0126	ffff	0000	
0128	ffff	0000	
012a	ffff	0000	
012c	ffff	0000	
012e	ffff	0000	
0130	ffff	0000	
0132	ffff	0000	
0134	ffff	0000	
0136	ffff	0000	
0138	ffff	0000	
013a	ffff	0000	
013c	ffff	0000	
013e	ffff	0000	
0140	ffff	0000	
0142	ffff	0000	
0144	ffff	0000	
0146	ffff	0000	
0148	ffff	0000	
014a	ffff	0000	
014c	ffff	0000	
014e	ffff	0000	
0150	ffff	0000	
0152	ffff	0000	
0154	ffff	0000	
0156	ffff	0000	
0158	ffff	0000	
015a	ffff	0000	
015c	ffff	0000	
015e	ffff	0000	
0160	ffff	0000	
0162	ffff	0000	
0164	ffff	0000	
0166	ffff	0000	
0168	ffff	0000	
016a	ffff	0000	
016c	ffff	0000	
016e	ffff	0000	
0170	ffff	0000	
0172	ffff	0000	
0174	ffff	0000	
0176	ffff	0000	
0178	ffff	0000	
017a	ffff	0000	
017c	ffff	0000	
017e	ffff	0000	
0180	ffff	0000	
0182	ffff	0000	
0184	ffff	0000	
0186	ffff	0000	
0188	ffff	0000	
018a	ffff	0000	
018c	ffff	0000	
018e	ffff	0000	
0190	ffff	0000	
0192	ffff	0000	
0194	ffff	0000	
0196	ffff	0000	
0198	ffff	0000	
019a	ffff	0000	
019c	ffff	0000	
019e	ffff	0000	
01a0	ffff	0000	
01a2	ffff	0000	
01a4	ffff	0000	
01a6	ffff	0000	
01a8	ffff	0000	
01aa	ffff	0000	
01ac	ffff	0000	
01ae	ffff	0000	
01b0	ffff	0000	
01b2	ffff	0000	
01b4	ffff	0000	
01b6	ffff	0000	
01b8	ffff	0000	
01ba	ffff	0000	
01bc	ffff	0000	
01be	ffff	0000	
01c0	ffff	0000	
01c2	ffff	0000	
01c4	ffff	0000	
01c6	ffff	0000	
01c8	ffff	0000	
01ca	ffff	0000	
01cc	ffff	0000	
01ce	ffff	0000	
01d0	ffff	0000	
01d2	ffff	0000	
01d4	ffff	0000	
01d6	ffff	0000	
01d8	ffff	0000	
01da	ffff	0000	
01dc	ffff	0000	
01de	ffff	0000	
01e0	ffff	0000	
